,TimeStamp,ReadsAvg,WritesAvg
9722,2016-11-22 15:02:01,53.9805,106.7792
9723,2016-11-22 15:02:03,52.9021,106.3613
9724,2016-11-22 15:02:04,55.3312,106.0027
9725,2016-11-22 15:02:06,55.0927,108.3417
9726,2016-11-22 15:02:07,55.6987,108.2373
9727,2016-11-22 15:02:09,54.8722,108.9151
9728,2016-11-22 15:02:10,54.3621,107.5814
9729,2016-11-22 15:02:11,52.9388,106.9981
9730,2016-11-22 15:02:12,52.9054,105.6034
9731,2016-11-22 15:02:13,53.0408,112.3306
9732,2016-11-22 15:02:16,53.3037,106.4937
9733,2016-11-22 15:02:17,55.0057,106.9079
9734,2016-11-22 15:02:18,53.3316,106.199
9735,2016-11-22 15:02:21,53.3222,109.5028
9736,2016-11-22 15:02:22,54.7051,107.6911
9737,2016-11-22 15:02:24,54.3759,107.4281
9738,2016-11-22 15:02:25,52.9703,106.7059
9739,2016-11-22 15:02:28,53.3389,105.5552
9740,2016-11-22 15:02:29,53.5078,106.8089
9741,2016-11-22 15:02:30,55.3473,113.6507
9742,2016-11-22 15:02:31,54.9656,108.8219
9743,2016-11-22 15:02:32,54.6852,108.6881
9744,2016-11-22 15:02:33,54.0077,104.0431
9745,2016-11-22 15:02:35,53.5191,109.8739
9746,2016-11-22 15:02:36,52.7391,108.256
9747,2016-11-22 15:02:38,54.6254,109.5012
9748,2016-11-22 15:02:39,53.4353,106.3437
9749,2016-11-22 15:02:40,57.0211,116.9918
9750,2016-11-22 15:02:41,53.1966,106.921
9751,2016-11-22 15:02:43,54.2189,109.2188
9752,2016-11-22 15:02:44,56.2519,108.018
9753,2016-11-22 15:02:45,53.3664,110.8389
9754,2016-11-22 15:02:46,53.6286,104.3163
9755,2016-11-22 15:02:47,54.0003,108.424
9756,2016-11-22 15:02:51,53.9692,107.8199
9757,2016-11-22 15:02:52,52.9566,106.0192
9758,2016-11-22 15:02:53,53.3799,107.4054
9759,2016-11-22 15:02:54,55.1372,107.2107
9760,2016-11-22 15:02:55,53.6086,105.2464
9761,2016-11-22 15:02:58,54.0684,108.5428
9762,2016-11-22 15:02:59,54.7706,105.4345
9763,2016-11-22 15:03:00,52.3614,106.4571
9764,2016-11-22 15:03:01,52.6749,106.8117
9765,2016-11-22 15:03:03,52.7612,105.1596
9766,2016-11-22 15:03:04,54.4966,105.922
9767,2016-11-22 15:03:05,55.2976,115.5706
9768,2016-11-22 15:03:06,53.9053,107.6753
9769,2016-11-22 15:03:07,54.8161,109.361
9770,2016-11-22 15:03:08,54.1707,108.6012
9771,2016-11-22 15:03:09,54.1643,105.3572
9772,2016-11-22 15:03:10,54.1539,109.9624
9773,2016-11-22 15:03:12,54.9897,105.8335
9774,2016-11-22 15:03:13,53.9007,104.9461
9775,2016-11-22 15:03:15,55.5524,110.4294
9776,2016-11-22 15:03:16,53.3711,109.7276
9777,2016-11-22 15:03:17,54.5334,110.0951
9778,2016-11-22 15:03:19,54.7468,107.6158
9779,2016-11-22 15:03:20,54.705,110.0827
9780,2016-11-22 15:03:21,53.9438,106.8482
9781,2016-11-22 15:03:22,54.511,105.519
9782,2016-11-22 15:03:24,54.0159,110.6471
9783,2016-11-22 15:03:25,54.4433,109.5563
9784,2016-11-22 15:03:26,53.6634,105.9368
9785,2016-11-22 15:03:27,54.7844,110.3214
9786,2016-11-22 15:03:28,53.4884,107.8792
9787,2016-11-22 15:03:32,54.6665,109.6469
9788,2016-11-22 15:03:33,54.506,104.7416
9789,2016-11-22 15:03:34,53.6644,107.1278
9790,2016-11-22 15:03:35,54.7182,111.5534
9791,2016-11-22 15:03:36,53.8514,109.7255
9792,2016-11-22 15:03:37,53.8415,109.7044
9793,2016-11-22 15:03:38,52.9414,105.6476
9794,2016-11-22 15:03:40,52.1256,105.6847
9795,2016-11-22 15:03:41,53.2828,106.0694
9796,2016-11-22 15:03:42,53.8722,109.102
9797,2016-11-22 15:03:43,57.3612,111.252
9798,2016-11-22 15:03:44,53.5103,106.3632
9799,2016-11-22 15:03:45,53.712,110.8958
